,POC_ID
2000,1966
2001,1967
2002,1968
2003,1969
2004,1970
2005,1971
2006,1972
2007,1973
2008,1974
2009,1975
2010,1976
2011,1977
2012,1978
2013,1979
2014,1980
2015,1981
2016,1982
2017,1983
2018,1984
2019,1985
2020,1986
2021,1987
2022,1988
2023,1989
2024,1990
2025,1991
2026,1992
2027,1993
2028,1994
2029,1995
2030,1996
2031,1997
2032,1998
2033,1999
2034,2000
2035,2001
2036,2002
2037,2003
2038,2004
2039,2005
2040,2006
2041,2007
2042,2008
2043,2009
2044,2010
2045,2011
2046,2012
2047,2013
2048,2014
2049,2015
2050,2016
2051,2017
2052,2018
2053,2019
2054,2020
2055,2021
2056,2022
2057,2023
2058,2024
2059,2025
2060,2026
2061,2027
2062,2028
2063,2029
2064,2030
2065,2031
2066,2032
2067,2033
2068,2034
2069,2035
2070,2036
2071,2037
2072,2038
2073,2039
2074,2040
2075,2041
2076,2042
2077,2043
2078,2044
2079,2045
2080,2046
2081,2047
2082,2048
2083,2049
2084,2050
2085,2051
2086,2052
2087,2053
2088,2054
2089,2055
2090,2056
2091,2057
2092,2058
2093,2059
2094,2060
2095,2061
2096,2062
2097,2063
2098,2064
2099,2065
2100,2066
2101,2067
2102,2068
2103,2069
2104,2070
2105,2071
2106,2072
2107,2073
2108,2074
2109,2075
2110,2076
2111,2077
2112,2078
2113,2079
2114,2080
2115,2081
2116,2082
2117,2083
2118,2084
2119,2085
2120,2086
2121,2087
2122,2088
2123,2089
2124,2090
2125,2091
2126,2092
2127,2093
2128,2094
2129,2095
2130,2096
2131,2097
2132,2098
2133,2099
2134,2100
2135,2101
2136,2102
2137,2103
2138,2104
2139,2105
2140,2106
2141,2107
2142,2108
2143,2109
2144,2110
2145,2111
2146,2112
2147,2113
2148,2114
2149,2115
2150,2116
2151,2117
2152,2118
2153,2119
2154,2120
2155,2121
2156,2122
2157,2123
2158,2124
2159,2125
2160,2126
2161,2127
2162,2128
2163,2129
2164,2130
2165,2131
2166,2132
2167,2133
2168,2134
2169,2135
2170,2136
2171,2137
2172,2138
2173,2139
2174,2140
2175,2141
2176,2142
2177,2143
2178,2144
2179,2145
2180,2146
2181,2147
2182,2148
2183,2149
2184,2150
2185,2151
2186,2152
2187,2153
2188,2154
2189,2155
2190,2156
2191,2157
2192,2158
2193,2159
2194,2160
2195,2161
2196,2162
2197,2163
2198,2164
2199,2165
2200,2166
2201,2167
2202,2168
2203,2169
2204,2170
2205,2171
2206,2172
2207,2173
2208,2174
2209,2175
2210,2176
2211,2177
2212,2178
2213,2179
2214,2180
2215,2181
2216,2182
2217,2183
2218,2184
2219,2185
2220,2186
2221,2187
2222,2188
2223,2189
2224,2190
2225,2191
2226,2192
2227,2193
2228,2194
2229,2195
2230,2196
2231,2197
2232,2198
2233,2199
2234,2200
2235,2201
2236,2202
2237,2203
2238,2204
2239,2205
2240,2206
2241,2207
2242,2208
2243,2209
2244,2210
2245,2211
2246,2212
2247,2213
2248,2214
2249,2215
2250,2216
2251,2217
2252,2218
2253,2219
2254,2220
2255,2221
2256,2222
2257,2223
2258,2224
2259,2225
2260,2226
2261,2227
2262,2228
2263,2229
2264,2230
2265,2231
2266,2232
2267,2233
2268,2234
2269,2235
2270,2236
2271,2237
2272,2238
2273,2239
2274,2240
2275,2241
2276,2242
2277,2243
2278,2244
2279,2245
2280,2246
2281,2247
2282,2248
2283,2249
2284,2250
2285,2251
2286,2252
2287,2253
2288,2254
2289,2255
2290,2256
2291,2257
2292,2258
2293,2259
2294,2260
2295,2261
2296,2262
2297,2263
2298,2264
2299,2265
2300,2266
2301,2267
2302,2268
2303,2269
2304,2270
2305,2271
2306,2272
2307,2273
2308,2274
2309,2275
2310,2276
2311,2277
2312,2278
2313,2279
2314,2280
2315,2281
2316,2282
2317,2283
2318,2284
2319,2285
2320,2286
2321,2287
2322,2288
2323,2289
2324,2290
2325,2291
2326,2292
2327,2293
2328,2294
2329,2295
2330,2296
2331,2297
2332,2298
2333,2299
2334,2300
2335,2301
2336,2302
2337,2303
2338,2304
2339,2305
2340,2306
2341,2307
2342,2308
2343,2309
2344,2310
2345,2311
2346,2312
2347,2313
