,POC_ID
3000,2966
3001,2967
3002,2968
3003,2969
3004,2970
3005,2971
3006,2972
3007,2973
3008,2974
3009,2975
3010,2976
3011,2977
3012,2978
3013,2979
3014,2980
3015,2981
3016,2982
3017,2983
3018,2984
3019,2985
3020,2986
3021,2987
3022,2988
3023,2989
3024,2990
3025,2991
3026,2992
3027,2993
3028,2994
3029,2995
3030,2996
3031,2997
3032,2998
3033,2999
3034,3000
3035,3001
3036,3002
3037,3003
3038,3004
3039,3005
3040,3006
3041,3007
3042,3008
3043,3009
3044,3010
3045,3011
3046,3012
3047,3013
3048,3014
3049,3015
3050,3016
3051,3017
3052,3018
3053,3019
3054,3020
3055,3021
3056,3022
3057,3023
3058,3024
3059,3025
3060,3026
3061,3027
3062,3028
3063,3029
3064,3030
3065,3031
3066,3032
3067,3033
3068,3034
3069,3035
3070,3036
3071,3037
3072,3038
3073,3039
3074,3040
3075,3041
3076,3042
3077,3043
3078,3044
3079,3045
3080,3046
3081,3047
3082,3048
3083,3049
3084,3050
3085,3051
3086,3052
3087,3053
3088,3054
3089,3055
3090,3056
3091,3057
3092,3058
3093,3059
3094,3060
3095,3061
3096,3062
3097,3063
3098,3064
3099,3065
3100,3066
3101,3067
3102,3068
3103,3069
3104,3070
3105,3071
3106,3072
3107,3073
3108,3074
3109,3075
3110,3076
3111,3077
3112,3078
3113,3079
3114,3080
3115,3081
3116,3082
3117,3083
3118,3084
3119,3085
3120,3086
3121,3087
3122,3088
3123,3089
3124,3090
3125,3091
3126,3092
3127,3093
3128,3094
3129,3095
3130,3096
3131,3097
3132,3098
3133,3099
3134,3100
3135,3101
3136,3102
3137,3103
3138,3104
3139,3105
3140,3106
3141,3107
3142,3108
3143,3109
3144,3110
3145,3111
3146,3112
3147,3113
3148,3114
3149,3115
3150,3116
3151,3117
3152,3118
3153,3119
3154,3120
3155,3121
3156,3122
3157,3123
3158,3124
3159,3125
3160,3126
3161,3127
3162,3128
3163,3129
3164,3130
3165,3131
3166,3132
3167,3133
3168,3134
3169,3135
3170,3136
3171,3137
3172,3138
3173,3139
3174,3140
3175,3141
3176,3142
3177,3143
3178,3144
3179,3145
3180,3146
3181,3147
3182,3148
3183,3149
3184,3150
3185,3151
3186,3152
3187,3153
3188,3154
3189,3155
3190,3156
3191,3157
3192,3158
3193,3159
3194,3160
3195,3161
3196,3162
3197,3163
3198,3164
3199,3165
3200,3166
3201,3167
3202,3168
3203,3169
3204,3170
3205,3171
3206,3172
