,POC_ID
6000,2211
6001,2212
6002,2213
6003,2214
6004,2215
6005,2216
6006,2217
6007,2218
6008,2219
6009,2220
6010,2221
6011,2222
6012,2223
6013,2224
6014,2225
6015,2226
6016,2227
6017,2228
6018,2229
6019,2230
6020,2231
6021,2232
6022,2233
6023,2234
6024,2235
6025,2236
6026,2237
6027,2238
6028,2239
6029,2240
6030,2241
6031,2242
6032,2243
6033,2244
6034,2245
6035,2246
6036,2247
6037,2248
6038,2249
6039,2250
6040,2251
6041,2252
6042,2253
6043,2254
6044,2255
6045,2256
6046,2257
6047,2258
6048,2259
6049,2260
6050,2261
6051,2262
6052,2263
6053,2264
6054,2265
6055,2266
6056,2267
6057,2268
6058,2269
6059,2270
6060,2271
6061,2272
6062,2273
6063,2274
6064,2275
6065,2276
6066,2277
6067,2278
6068,2279
6069,2280
6070,2281
6071,2282
6072,2283
6073,2284
6074,2285
6075,2286
6076,2287
6077,2288
6078,2289
6079,2290
6080,2291
6081,2292
6082,2293
6083,2294
6084,2295
6085,2296
6086,2297
6087,2298
6088,2299
6089,2300
6090,2301
6091,2302
6092,2303
6093,2304
6094,2305
6095,2306
6096,2307
6097,2308
6098,2309
6099,2310
6100,2311
6101,2312
6102,2313
6103,2314
6104,2315
6105,2316
6106,2317
6107,2318
6108,2319
6109,2320
6110,2321
6111,2322
6112,2323
6113,2324
6114,2325
6115,2326
6116,2327
6117,2328
6118,2329
6119,2330
6120,2331
6121,2332
6122,2333
6123,2334
6124,2335
6125,2336
6126,2337
6127,2338
6128,2339
6129,2340
6130,2341
6131,2342
6132,2343
6133,2344
6134,2345
6135,2346
6136,2347
6137,2348
6138,2349
6139,2350
6140,2351
6141,2352
6142,2353
6143,2354
6144,2355
6145,2356
6146,2357
6147,2358
6148,2359
6149,2360
6150,2361
6151,2362
6152,2363
6153,2364
6154,2365
6155,2366
6156,2367
6157,2368
6158,2369
6159,2370
6160,2371
6161,2372
6162,2373
6163,2374
6164,2375
6165,2376
6166,2377
6167,2378
6168,2379
6169,2380
6170,2381
6171,2382
6172,2383
6173,2384
6174,2385
6175,2386
6176,2387
6177,2388
6178,2389
6179,2390
6180,2391
6181,2392
6182,2393
6183,2394
6184,2395
6185,2396
6186,2397
6187,2398
6188,2399
6189,2400
6190,2401
6191,2402
6192,2403
6193,2404
6194,2405
6195,2406
6196,2407
6197,2408
6198,2409
6199,2410
6200,2411
6201,2412
6202,2413
6203,2414
6204,2415
6205,2416
6206,2417
6207,2418
6208,2419
6209,2420
6210,2421
6211,2422
6212,2423
6213,2424
6214,2425
6215,2426
6216,2427
6217,2428
6218,2429
6219,2430
6220,2431
6221,2432
6222,2433
6223,2434
6224,2435
6225,2436
6226,2437
6227,2438
6228,2439
6229,2440
6230,2441
6231,2442
6232,2443
6233,2444
6234,2445
6235,2446
6236,2447
6237,2448
6238,2449
6239,2450
6240,2451
6241,2452
6242,2453
6243,2454
6244,2455
6245,2456
6246,2457
6247,2458
6248,2459
6249,2460
6250,2461
6251,2462
6252,2463
6253,2464
6254,2465
6255,2466
6256,2467
6257,2468
6258,2469
6259,2470
6260,2471
6261,2472
6262,2473
6263,2474
6264,2475
6265,2476
6266,2477
6267,2478
6268,2479
6269,2480
6270,2481
6271,2482
6272,2483
6273,2484
6274,2485
6275,2486
6276,2487
6277,2488
6278,2489
6279,2490
6280,2491
6281,2492
6282,2493
6283,2494
6284,2495
6285,2496
6286,2497
6287,2498
6288,2499
6289,2500
6290,2501
6291,2502
6292,2503
6293,2504
6294,2505
6295,2506
6296,2507
6297,2508
6298,2509
6299,2510
6300,2511
6301,2512
6302,2513
6303,2514
6304,2515
6305,2516
6306,2517
6307,2518
6308,2519
6309,2520
6310,2521
6311,2522
6312,2523
6313,2524
6314,2525
6315,2526
6316,2527
6317,2528
6318,2529
6319,2530
6320,2531
6321,2532
6322,2533
6323,2534
6324,2535
6325,2536
6326,2537
6327,2538
6328,2539
6329,2540
6330,2541
6331,2542
6332,2543
6333,2544
6334,2545
6335,2546
6336,2547
6337,2548
6338,2549
6339,2550
6340,2551
6341,2552
6342,2553
6343,2554
6344,2555
6345,2556
6346,2557
6347,2558
6348,2559
6349,2560
6350,2561
6351,2562
6352,2563
6353,2564
6354,2565
6355,2566
6356,2567
6357,2568
6358,2569
6359,2570
6360,2571
6361,2572
6362,2573
6363,2574
6364,2575
6365,2576
6366,2577
6367,2578
6368,2579
6369,2580
6370,2581
6371,2582
6372,2583
6373,2584
6374,2585
6375,2586
6376,2587
6377,2588
6378,2589
6379,2590
6380,2591
6381,2592
6382,2593
6383,2594
6384,2595
6385,2596
6386,2597
6387,2598
6388,2599
6389,2600
6390,2601
6391,2602
6392,2603
6393,2604
6394,2605
6395,2606
6396,2607
6397,2608
6398,2609
6399,2610
6400,2611
6401,2612
6402,2613
6403,2614
6404,2615
6405,2616
6406,2617
6407,2618
6408,2619
6409,2620
6410,2621
6411,2622
6412,2623
6413,2624
6414,2625
6415,2626
6416,2627
6417,2628
6418,2629
6419,2630
6420,2631
6421,2632
6422,2633
6423,2634
6424,2635
6425,2636
6426,2637
6427,2638
6428,2639
6429,2640
6430,2641
6431,2642
6432,2643
6433,2644
6434,2645
6435,2646
6436,2647
6437,2648
6438,2649
6439,2650
6440,2651
6441,2652
6442,2653
6443,2654
6444,2655
6445,2656
6446,2657
6447,2658
6448,2659
6449,2660
6450,2661
6451,2662
6452,2663
6453,2664
6454,2665
6455,2666
