,POC_ID
7000,3211
7001,3212
7002,3213
7003,3214
7004,3215
7005,3216
7006,3217
7007,3218
7008,3219
7009,3220
7010,3221
7011,3222
7012,3223
7013,3224
7014,3225
7015,3226
7016,3227
7017,3228
7018,3229
7019,3230
7020,3231
7021,3232
7022,3233
7023,3234
7024,3235
7025,3236
7026,3237
7027,3238
7028,3239
7029,3240
7030,3241
7031,3242
7032,3243
7033,3244
7034,3245
7035,3246
7036,3247
7037,3248
7038,3249
7039,3250
7040,3251
7041,3252
7042,3253
7043,3254
7044,3255
7045,3256
7046,3257
7047,3258
7048,3259
7049,3260
7050,3261
7051,3262
7052,3263
7053,3264
7054,3265
7055,3266
7056,3267
7057,3268
7058,3269
7059,3270
7060,3271
7061,3272
7062,3273
7063,3274
7064,3275
7065,3276
7066,3277
7067,3278
7068,3279
7069,3280
7070,3281
7071,3282
7072,3283
7073,3284
7074,3285
7075,3286
7076,3287
7077,3288
7078,3289
7079,3290
7080,3291
7081,3292
7082,3293
7083,3294
7084,3295
7085,3296
7086,3297
7087,3298
7088,3299
7089,3300
7090,3301
7091,3302
7092,3303
7093,3304
7094,3305
7095,3306
7096,3307
7097,3308
7098,3309
7099,3310
7100,3311
7101,3312
7102,3313
7103,3314
7104,3315
7105,3316
7106,3317
7107,3318
7108,3319
7109,3320
7110,3321
7111,3322
7112,3323
7113,3324
7114,3325
7115,3326
7116,3327
7117,3328
7118,3329
7119,3330
7120,3331
7121,3332
7122,3333
7123,3334
7124,3335
7125,3336
7126,3337
7127,3338
7128,3339
7129,3340
7130,3341
7131,3342
7132,3343
7133,3344
7134,3345
7135,3346
7136,3347
7137,3348
7138,3349
7139,3350
7140,3351
7141,3352
7142,3353
7143,3354
7144,3355
7145,3356
7146,3357
7147,3358
7148,3359
7149,3360
7150,3361
7151,3362
7152,3363
7153,3364
7154,3365
7155,3366
7156,3367
7157,3368
7158,3369
7159,3370
7160,3371
7161,3372
7162,3373
7163,3374
7164,3375
7165,3376
7166,3377
7167,3378
7168,3379
7169,3380
7170,3381
7171,3382
7172,3383
7173,3384
7174,3385
7175,3386
7176,3387
7177,3388
7178,3389
7179,3390
7180,3391
7181,3392
7182,3393
7183,3394
7184,3395
7185,3396
7186,3397
7187,3398
7188,3399
7189,3400
7190,3401
7191,3402
7192,3403
7193,3404
7194,3405
7195,3406
7196,3407
7197,3408
7198,3409
7199,3410
7200,3411
7201,3412
7202,3413
7203,3414
7204,3415
7205,3416
7206,3417
7207,3418
7208,3419
7209,3420
7210,3421
7211,3422
7212,3423
7213,3424
7214,3425
7215,3426
7216,3427
7217,3428
7218,3429
7219,3430
7220,3431
7221,3432
7222,3433
7223,3434
7224,3435
7225,3436
7226,3437
7227,3438
7228,3439
7229,3440
